scientific_name;new name;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;taxon_no_data
Actitis hypoleucos;Actitis hypoleucos;Scolopacidae;Charadriiformes;AVIBASE-8548B07E;11;2;3;6;4;30.1;19.9;3.1;4;22.4;109.9;51.1;55.4;48;57.4;48;Dunning;NA;NO;NA;NA;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;29.79;71.19;55.26;79.82;25847437.41;trait available
Agricola pallidus;Agricola pallidus;Muscicapidae;Passeriformes;AVIBASE-FA03A965;14;4;4;6;10;16.4;9.6;3.7;4.2;20.9;89.9;17.3;73;19;72.8;23.6;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;-29.81;16.54;-4.16;22.72;9110671.42;trait available
Alexandrinus krameri;Alexandrinus krameri;Psittacidae;Psittaciformes;AVIBASE-6B1CFC3C;9;4;5;0;8;25.4;22.7;14.4;20.8;13.8;155.8;75.3;82.2;47.7;215.2;116.1;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Omnivore;Insessorial;3.6;34.92;17.19;46.52;7699517.78;trait available
Amazilia coeruleogularis;Amazilia coeruleogularis;Trochilidae;Caprimulgiformes;AVIBASE-D3D0C21B;5;2;3;0;4;21.5;16.8;2;2;5.3;47.2;30;16.7;64.3;33.6;4.2;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Nectarivore;Aerial;7.2;11.3;8.78;-77.93;88891.44;trait available
Anabacerthia lichtensteini;Anabacerthia lichtensteini;Furnariidae;Passeriformes;AVIBASE-5A7FA9E2;8;0;6;2;4;16.9;11;3.7;5.2;18.6;78.2;13.8;64.6;17.5;74;21;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-29.59;-13.51;-21.76;-49.37;1589284.85;trait available
Anastomus oscitans;Anastomus oscitans;Ciconiidae;Ciconiiformes;AVIBASE-0DF27D63;5;2;3;0;4;156.7;129;21.5;37.7;137.7;397;160.5;238.8;40.2;162.4;1590;Dunning ;NA;NO;NA;NA;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;5.92;29.12;20.66;85.13;2119789.43;trait available
Apalis thoracica;Apalis thoracica;Cisticolidae;Passeriformes;AVIBASE-B285E2B0;13;4;4;5;8;14.9;8.1;2.6;2.5;20.5;51.1;5.6;45.4;11;51.4;11.1;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-34.84;-2.62;-21.17;30.06;1229497.4;trait available
Aplopelia larvata;Aplopelia larvata;Columbidae;Columbiformes;AVIBASE-EE40DDB6;18;6;7;5;8;21.7;19;3.3;3.7;26;143.1;42.1;101.7;29.3;92.9;155;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Granivore;Terrestrial;-34.84;16.48;-5.7;27.89;2621498.99;trait available
Ardea alba;Ardea alba;Ardeidae;Pelecaniformes;AVIBASE-49D9148A;16;4;7;5;8;126.3;90.4;12;18.1;141.6;378.8;120.7;257.2;32.1;140.5;871.3;Dunning;NA;NO;NA;NA;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;-52.61;57.34;10.02;28.87;74898555.49;trait available
Ardea intermedia;Ardea intermedia;Ardeidae;Pelecaniformes;AVIBASE-30785911;5;2;3;0;4;90.4;61.4;10.5;14.1;104.2;303.4;98.4;202.3;32.7;117.8;458.8;Dunning;NA;NO;NA;NA;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;-8.85;39.29;21.5;99.46;5469087.01;trait available
Ardea purpurea;Ardea purpurea;Ardeidae;Pelecaniformes;AVIBASE-3395DCF1;9;4;5;0;4;125.9;102.5;13.6;19.6;117.5;349.7;118.2;230.8;33.9;113.2;1064.5;Dunning;NA;NO;NA;NA;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;-34.84;53.18;14.68;50.93;34922824.77;trait available
Arizelocichla milanjensis;Arizelocichla milanjensis;Pycnonotidae;Passeriformes;AVIBASE-8479F56E;9;5;4;0;4;21;10.7;3.9;4.8;22.8;94.7;15.1;80.3;15.8;88.1;37.4;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Omnivore;Insessorial;-20.82;-15.77;-18.94;33.23;42374.09;trait available
Arizelocichla montana;Arizelocichla montana;Pycnonotidae;Passeriformes;AVIBASE-0802ADF1;5;2;3;0;4;17.2;8.7;4;4.2;21.1;82.8;8.9;74.4;10.6;83.2;32.6;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;4.06;7.96;6.22;10.43;61327.27;trait available
Arizelocichla tephrolaema;Arizelocichla tephrolaema;Pycnonotidae;Passeriformes;AVIBASE-DA399CC6;5;2;2;1;4;17.2;9.2;3.8;4.2;19.8;82.4;12.6;69.9;15.3;73.2;38.3;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;3.21;7.75;5.92;10.31;59489.94;trait available
Arremon semitorquatus;Arremon semitorquatus;Passerellidae;Passeriformes;AVIBASE-401DC20C;2;1;1;0;2;15.2;9.4;5.7;7.7;25.2;70;4.2;65.8;6.1;70.5;25;Updated_literature;BoW;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;-26.45;-18.96;-22.7;-45.36;215137.21;trait available
Asemospiza fuliginosa;Asemospiza fuliginosa;Thraupidae;Passeriformes;AVIBASE-F2091EB7;7;2;3;2;5;12.2;7.8;6;7.5;15.6;57.4;10.3;47.5;17.9;43.9;13.3;Dunning;NA;NO;NA;NA;Shrubland;2;2;Herbivore;Granivore;Insessorial;-26.14;11.27;-15.69;-47.33;951776.68;trait available
Atalotriccus pilaris;Atalotriccus pilaris;Tyrannidae;Passeriformes;AVIBASE-CD3601B0;4;0;2;2;4;13.6;6.3;3.4;2.6;15.4;41.2;3.6;37.6;8.8;33.4;6.8;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;2.29;12.46;7.68;-69.45;813969.64;trait available
Baeolophus bicolor;Baeolophus bicolor;Paridae;Passeriformes;AVIBASE-B488AB70;17;5;10;2;11;13.3;8.8;4.9;5.5;20.5;77.9;12.5;65.2;16.1;68.6;21.6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;25.84;45.77;36.97;-86.71;2969712.5;trait available
Bambusicola thoracicus;Bambusicola thoracicus;Phasianidae;Galliformes;AVIBASE-59ECAD9D;5;2;3;0;4;19.9;9.8;6.4;6.8;36.7;128.4;30.5;97.2;23.9;90.4;264.8;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Omnivore;Terrestrial;22.87;33.13;28.51;112.46;1284965.77;trait available
Bleda canicapillus;Bleda canicapillus;Pycnonotidae;Passeriformes;AVIBASE-D4B9EE90;19;2;2;15;16;20.1;13.3;5.3;6.4;25.5;98.4;13.4;85.3;13.5;91.3;41.3;Updated_literature;BoW;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;4.28;13.46;7.87;-4.78;1094053.69;trait available
Bocagia minuta;Bocagia minuta;Malaconotidae;Passeriformes;AVIBASE-7DCA1C1E;10;2;8;0;4;22.9;11.8;6.3;8.3;26.8;73.4;6.6;66.6;9;78.7;34.4;Dunning;NA;NO;NA;NA;Wetland;3;1;Carnivore;Invertivore;Insessorial;-19.17;16.06;-2.02;21.22;3369836.92;trait available
Bradypterus bangwaensis;Bradypterus bangwaensis;Locustellidae;Passeriformes;AVIBASE-AD3FBCA9;5;2;3;0;4;15.7;8;2.8;3.4;24.1;61.3;5.1;56;8.3;65.6;21;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;4.13;7.45;6.19;10.67;6930.35;trait available
Buteogallus anthracinus;Buteogallus anthracinus;Accipitridae;Accipitriformes;AVIBASE-97FDBB06;5;2;3;0;4;39.6;25.1;12.9;17.5;78.6;355.2;106;239.5;30.7;206.2;975.1;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Aquatic predator;Insessorial;-3.68;34.7;18.62;-93.02;1898078.97;trait available
Butorides striata;Butorides striata;Ardeidae;Pelecaniformes;AVIBASE-9973F7CE;31;11;11;9;13;69.2;51.8;9.1;11.2;49.7;175.9;53.2;125.5;29.8;63.6;201.5;Dunning;NA;NO;NA;NA;Wetland;3;1;Carnivore;Aquatic predator;Terrestrial;-41.16;54.29;7.56;7.37;53556698.29;trait available
Calliope calliope;Calliope calliope;Muscicapidae;Passeriformes;AVIBASE-786B0F98;5;2;3;0;4;16.2;8.9;3.4;3.7;28.8;78.2;17.7;59.8;22.8;63.4;18.5;Dunning;NA;NO;NA;NA;Shrubland;2;3;Carnivore;Invertivore;Terrestrial;32.23;70.06;57.27;112.34;10841460.62;trait available
Camaroptera brachyura;Camaroptera brachyura;Cisticolidae;Passeriformes;AVIBASE-DC456636;53;7;7;39;43;14.4;8.2;3;2.9;21.4;52.8;4.2;48.7;7.8;40.6;9.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-34.21;19.63;-0.52;21.31;15929835.83;trait available
Camaroptera chloronota;Camaroptera chloronota;Cisticolidae;Passeriformes;AVIBASE-F58AF0FB;20;3;5;12;11;14.5;8.6;3.3;2.9;21.7;52;3.8;47.7;7.2;27.8;11.4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-5.66;9.86;4.12;4.46;1659026;trait available
Campylorhamphus falcularius;Campylorhamphus falcularius;Furnariidae;Passeriformes;AVIBASE-3BDB5DE7;9;1;4;4;4;71.3;63.2;4.3;5.8;22.2;99.5;13.9;85.5;14;98.4;42.6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-30.13;-12.31;-23.57;-48.33;876884.84;trait available
Capsiempis flaveola;Capsiempis flaveola;Tyrannidae;Passeriformes;AVIBASE-C4D2BEC1;13;5;6;2;4;10.8;6.3;4;3.1;16;49;6.1;41;12.9;48.5;7.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-28.14;12.46;-5.98;-57.99;5724076.64;trait available
Caracara plancus;Caracara plancus;Falconidae;Falconiformes;AVIBASE-7C22C3D3;30;11;11;8;7;43.8;29.8;14.8;23.9;79.1;378.7;92.3;284.6;24.4;205.3;1078.6;Dunning;NA;NO;NA;NA;Shrubland;3;1;Omnivore;Omnivore;Terrestrial;-55.72;-2.37;-24.93;-57.08;9019115.11;trait available
Carterornis chrysomela;Carterornis chrysomela;Monarchidae;Passeriformes;AVIBASE-6778547A;10;2;8;0;4;16.4;9.1;5.1;4.5;17.9;72;11.3;60.8;15.6;55.7;15.6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10.72;0;-5.26;141.05;651592.49;trait available
Ceblepyris caesius;Ceblepyris caesius;Campephagidae;Passeriformes;AVIBASE-C7B05F46;11;2;9;0;4;22.1;13.2;8.1;7;23.8;120.6;28.4;91.5;23.7;116.2;47.3;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-34.84;10.03;-7.94;32.27;905645.62;trait available
Centropus superciliosus;Centropus superciliosus;Cuculidae;Cuculiformes;AVIBASE-BD2BC35C;9;4;5;0;4;31.5;16.8;7.1;11.6;38.9;157.9;23.7;135.1;14.9;209.1;148.5;Dunning;NA;NO;NA;NA;Wetland;1;1;Carnivore;Invertivore;Terrestrial;-34.84;19.04;-7.54;31.11;7292900.16;trait available
Ceuthmochares aereus;Ceuthmochares aereus;Cuculidae;Cuculiformes;AVIBASE-E0D521B7;6;3;3;0;4;27.4;19.9;9.9;10.7;27.6;117.2;15.8;102.4;13.4;185.3;65.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-11.09;13.49;-0.57;17.73;4005421.1;trait available
Ceyx pusillus;Ceyx pusillus;Alcedinidae;Coraciiformes;AVIBASE-9F840FEA;5;2;3;0;4;28.9;22.7;5.1;6.4;8;50.8;11.9;38.6;23.6;24.6;13.3;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Aquatic predator;Insessorial;-24.86;2.23;-8.47;140.75;910124.54;trait available
Chalcites minutillus;Chalcites minutillus;Cuculidae;Cuculiformes;AVIBASE-28101531;11;5;5;1;8;18.8;12.2;5.1;4.7;14.7;93.2;35.4;58.5;37.7;59.6;18.6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-31.45;11.31;-9.9;133.84;2896885.75;trait available
Chalcomitra amethystina;Chalcomitra amethystina;Nectariniidae;Passeriformes;AVIBASE-B022292C;22;8;14;0;13;24.8;18.3;3.7;3.4;15.6;65.1;10.1;54.7;15.6;42.1;13.7;Dunning;NA;NO;NA;NA;Woodland;2;2;Omnivore;Omnivore;Insessorial;-34.49;4.41;-13.93;28.6;3590561.92;trait available
Chamaetylas poliocephala;Chamaetylas poliocephala;Muscicapidae;Passeriformes;AVIBASE-8B7A6FE9;177;4;6;167;5;19.2;11;4.6;5.2;27;86.5;14.8;74.6;16.5;56.8;32.4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;-10.8;9.54;2.78;12.92;1599692.41;trait available
Chloris chloris;Chloris chloris;Fringillidae;Passeriformes;AVIBASE-65BD2033;30;14;16;0;8;14.4;11;7.6;8.8;17.3;85.3;27.8;57.4;32.5;55.7;26;Dunning;NA;NO;NA;NA;Woodland;2;1;Herbivore;Granivore;Generalist;27.64;70.26;50.67;25.85;10220595.83;trait available
Chloris sinica;Chloris sinica;Fringillidae;Passeriformes;AVIBASE-684A6610;5;2;3;0;2;13.8;8.7;6.4;7.8;14.5;76.1;25.2;49.9;33.5;48.3;18.6;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Granivore;Generalist;10.91;59.81;37.44;119.75;6303643.12;trait available
Chlorophoneus multicolor;Chlorophoneus multicolor;Malaconotidae;Passeriformes;AVIBASE-3703187C;10;2;8;0;4;23.1;13.1;6.2;7.4;26.5;99.5;10;89.4;10;90.7;50.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10.64;9.68;3.58;7.4;1682374.81;trait available
Chlorophoneus nigrifrons;Chlorophoneus nigrifrons;Malaconotidae;Passeriformes;AVIBASE-5CE2F0DC;16;4;12;0;4;21.2;11.5;5.4;6.3;25.6;91;10.8;80.6;11.8;87.1;34.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-24.23;1.29;-10.42;28.39;540075.23;trait available
Chlorostilbon lucidus;Chlorostilbon lucidus;Trochilidae;Caprimulgiformes;AVIBASE-69D81B74;10;2;7;1;4;16.9;14.8;2.5;1.9;3.5;49.6;28.6;17.3;62.3;27.8;3.5;Dunning;NA;NO;NA;NA;Shrubland;2;2;Herbivore;Nectarivore;Aerial;-36.65;-3.16;-19.91;-51.8;5788276.16;trait available
Cinnyris mediocris;Cinnyris mediocris;Nectariniidae;Passeriformes;AVIBASE-EF6101F4;9;4;5;0;4;19.3;13.7;3.2;2.8;15.4;53.1;8.1;44.9;15.1;38.7;8.2;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Nectarivore;Insessorial;-3.93;2.88;-0.38;36.38;195956.74;trait available
Cinnyris venustus;Cinnyris venustus;Nectariniidae;Passeriformes;AVIBASE-8E9E45B5;33;15;16;2;23;18.1;12.9;3.2;2.8;15;50.2;6.9;43.3;13.8;33.5;6.6;Dunning;NA;NO;NA;NA;Woodland;2;1;Omnivore;Nectarivore;Insessorial;-22.17;17.82;-1.21;28.13;5595541.69;trait available
Cissopis leverianus;Cissopis leverianus;Thraupidae;Passeriformes;AVIBASE-7766CC3C;10;5;5;0;4;19.8;12.1;7.7;9.4;25.9;106.3;13.8;91;13.1;129;76;Dunning;NA;NO;NA;NA;Woodland;2;1;Omnivore;Omnivore;Insessorial;-28.42;9.67;-9.52;-60.84;5410821.02;trait available
Clamator levaillantii;Clamator levaillantii;Cuculidae;Cuculiformes;AVIBASE-3C8C3A31;5;2;3;0;4;28;17.9;7.5;8.8;30.6;174.4;46.6;127.4;26.8;215.2;122;Dunning;NA;NO;NA;NA;Grassland;2;3;Carnivore;Invertivore;Insessorial;-27.61;16.69;-3.5;21.1;9843346.04;trait available
Coccopygia quartinia;Coccopygia quartinia;Estrildidae;Passeriformes;AVIBASE-B9BE800C;9;4;5;0;4;8.7;6.3;4.2;5;13;46.8;7.7;39;16.6;36.9;6.7;Dunning;NA;NO;NA;NA;Shrubland;2;1;Omnivore;Granivore;Generalist;-21.15;14.85;-0.47;35.35;676732.96;trait available
Colinus virginianus;Colinus virginianus;Odontophoridae;Galliformes;AVIBASE-91CCBC71;4;2;2;0;4;14.9;8.6;7;8.4;29.6;109.8;30.3;79.4;27.6;56.8;171.9;Dunning;NA;NO;NA;NA;Human Modified;2;1;Herbivore;Omnivore;Terrestrial;14.51;45.69;34.48;-91.61;4364464.18;trait available
Conopias trivirgatus;Conopias trivirgatus;Tyrannidae;Passeriformes;AVIBASE-C5A7C594;4;1;3;0;4;16.6;10.7;5.8;4.8;15.1;65;12.4;52.6;19.1;51.2;21;Inferred;NA;YES;Body Mass;Conopias parvus;Forest;1;1;Carnivore;Invertivore;Insessorial;-28.52;4.44;-14.66;-55.76;2019072.42;trait available
Corvus macrorhynchos;Corvus macrorhynchos;Corvidae;Passeriformes;AVIBASE-F4C4F838;63;18;42;3;26;62;42.3;17.4;21.9;57;318.6;111.2;207.6;34.8;182.9;513.1;Dunning;NA;NO;NA;NA;Woodland;2;1;Omnivore;Omnivore;Generalist;-10.74;55.35;29.04;107.25;13313192.58;trait available
Cossypha albicapillus;Cossypha albicapillus;Muscicapidae;Passeriformes;AVIBASE-FA3C53B8;5;2;3;0;4;23.3;14.4;5.1;5.9;34;124.8;20;103.5;16.2;131.4;58.5;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Terrestrial;5.27;15.81;10.07;-0.45;1269495.3;trait available
Crithagra burtoni;Crithagra burtoni;Fringillidae;Passeriformes;AVIBASE-8E8B3DB9;9;4;5;0;4;16.8;12.4;8.7;11.4;20.9;87.7;17.7;69.6;20.2;67.6;30.5;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Granivore;Insessorial;-12.88;7.62;-0.64;27.88;400739.28;trait available
Crithagra mozambica;Crithagra mozambica;Fringillidae;Passeriformes;AVIBASE-169B483C;17;7;7;3;10;10.3;7;5;5.9;14.4;68.2;15;53.4;22;43.4;11.9;Dunning;NA;NO;NA;NA;Shrubland;3;1;Herbivore;Omnivore;Generalist;-34.21;16.78;-4.04;21.47;9532014.48;trait available
Cyanistes caeruleus;Cyanistes caeruleus;Paridae;Passeriformes;AVIBASE-9BE53D34;17;8;9;0;4;9.7;5.8;3.2;4.2;15.2;65.6;13.8;51.8;21;51.4;11.1;Updated_literature;BoW;NO;NA;NA;Forest;1;1;Omnivore;Invertivore;Insessorial;29.93;67.75;50.72;26.02;8753389.8;trait available
Cyanoderma erythropterum;Cyanoderma erythropterum;Timaliidae;Passeriformes;AVIBASE-89FA492A;0;0;0;0;0;16;9.8;3.4;4;21.1;59.7;5.6;53.8;9.4;48.2;12.6;Dunning;NA;YES;Beak Culmen;;;;;;;;;;;;;trait available
Cyanoderma ruficeps;Cyanoderma ruficeps;Timaliidae;Passeriformes;AVIBASE-8DA71DFB;5;1;3;1;4;15;8.9;2.6;3.3;19.6;55;5.4;50;9.8;47;10.3;Dunning;NA;NO;NA;NA;Shrubland;1;1;Carnivore;Invertivore;Insessorial;11.34;34.2;27.11;106.57;2205807;trait available
