AccSpeciesName;Dispersal syndrome;Leaf nitrogen (N) content per leaf dry mass;Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume);Seed dry mass;Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC);taxon_no_data
Coussapoa microcarpa;NA;1.46;0.578711273;NA;272.579;trait available
Coussarea;Disp;1.863333333;NA;NA;NA;trait available
Coussarea accedens;NA;2.79;0.701262908;NA;NA;trait available
Coussarea contracta;NA;NA;NA;NA;247.528;trait available
Coutarea hexandra;NA;2.753678131;0.610946894;3.9775;204.3172818;trait available
Crataegus;NA;NA;NA;NA;265.9993239;trait available
Crepis sancta;anemochory;4.26722;NA;0.135714286;126.4285714;trait available
Crinodendron hookerianum;Hydrochory;NA;NA;NA;NA;trait available
Crossopetalum parviflorum;Disp;NA;NA;NA;NA;trait available
Croton;NA;NA;0.651960095;NA;NA;trait available
Croton floribundus;NA;2.97;0.6;NA;NA;trait available
Croton fragilis;NA;NA;NA;14;NA;trait available
Croton macrobothrys;NA;NA;49.82875049;NA;352.88;trait available
Croton macrostachyus;NA;NA;0.479204058;69.89285714;NA;trait available
Croton matourensis;NA;NA;0.437193333;NA;NA;trait available
Croton urucurana;NA;3.94;0.528;NA;NA;trait available
Crucianella macrostachya;NA;NA;NA;1.23;NA;trait available
Crupina crupinastrum;anemochory;NA;NA;10.66666667;NA;trait available
Cryptocarya;NA;3.8728075;0.606012348;3157.142857;NA;trait available
Cryptocarya aschersoniana;NA;2.1103606;0.61333137;0.579025;411.63;trait available
Cryptocarya mandioccana;NA;NA;1.278;1.1488;388.461;trait available
Cryptocarya moschata;Animal;NA;NA;NA;NA;trait available
Cupania;Diaspore is eaten intentionally;12.30854075;NA;395.8728027;NA;trait available
Cupania dentata;NA;1.5012;0.66;NA;NA;trait available
Cupania furfuracea;NA;NA;1.218;NA;NA;trait available
Cupania hirsuta;Disp;NA;NA;236.0984355;NA;trait available
Cupania oblongifolia;NA;NA;0.67;NA;NA;trait available
Cupania scrobiculata;Disp;2.592588681;0.669791667;144.2378911;0.425128452;trait available
Cupania vernalis;NA;NA;0.598016761;0.15245;399.961;trait available
Cupressus lusitanica;NA;NA;0.393333333;4.310733529;NA;trait available
Cussonia arborea;NA;15.8945425;0.357459667;7.91;NA;trait available
Cyathea corcovadensis;NA;NA;NA;1.32E-07;285.403;trait available
Cyathea delgadii;NA;NA;NA;1.32E-07;344.34;trait available
Cyathea phalerata;NA;NA;NA;1.32E-07;285.105;trait available
Cybistax antisyphilitica;NA;NA;0.59;NA;NA;trait available
Cynodon dactylon;unassisted;15.78272783;NA;53105.82038;233.8224607;trait available
Cynometra;NA;NA;0.81795;NA;NA;trait available
Cynophalla flexuosa;Disp;2.541633333;0.729486441;67;NA;trait available
Cytisus scoparius;dysochor;12.72766667;0.435265447;1083.720252;111.1114573;trait available
Dactylis glomerata;agochor;11.86165797;0.074041453;3445.968794;169.9717579;trait available
Dahlstedtia pinnata;NA;3.69;1.038669305;NA;NA;trait available
Dalbergia;NA;NA;0.964355562;NA;NA;trait available
Dalbergia frutescens;NA;NA;0.593271977;162.75;NA;trait available
Dalbergia glomerata;Disp;NA;NA;40;NA;trait available
Danaea nodosa;NA;2.262;NA;NA;153.0500238;trait available
Daphnopsis;Disp;NA;NA;NA;NA;trait available
Daphnopsis brasiliensis;NA;NA;0.52;NA;NA;trait available
Daphnopsis fasciculata;NA;NA;NA;0.048076922;325.155;trait available
Daucus aureus;NA;NA;NA;2.8;NA;trait available
Delairea odorata;Anemochory: Small seeds with pappus or very light seeds (ex,  Crepis sp. or Orchis sp.);2.22;NA;NA;NA;trait available
Delphinium peregrinum;NA;NA;NA;1.36;NA;trait available
Dendropanax;NA;13.7927185;0.420529801;NA;NA;trait available
Dendropanax arboreus;Disp;2.230807682;0.422725746;7.101529646;231.9826794;trait available
Dendropanax cuneatus;NA;20.10023388;NA;NA;NA;trait available
Deverra tortuosa;NA;NA;NA;0.55;NA;trait available
Dialium guianense;Disp;8.037005206;0.839242997;218.775225;NA;trait available
Dianthus strictus;NA;NA;NA;1.15;NA;trait available
Diatenopteryx sorbifolia;NA;2.82;0.744;0.072228241;378.754;trait available
Dicksonia sellowiana;NA;NA;NA;3.69E-07;419.481;trait available
Dillenia;NA;NA;0.46;NA;NA;trait available
Dinizia excelsa;NA;1.983333333;0.897845833;200;NA;trait available
Diospyros;no;17.76083333;0.739657295;2933.39018;46.11895023;trait available
Diospyros abyssinica;Disp;NA;0.6;196.395;NA;trait available
Diospyros capreifolia;Disp;3.301299705;0.73;NA;NA;trait available
Diospyros cavalcantei;NA;1.099567356;NA;NA;NA;trait available
Diospyros guianensis;NA;NA;0.6;NA;NA;trait available
Diospyros inconstans;NA;NA;0.83;NA;NA;trait available
Diospyros myriophylla;NA;NA;NA;37.94;NA;trait available
Diphysa americana;NA;NA;0.66841839;16.93;NA;trait available
Diploon cuspidatum;NA;1.706831733;0.85;NA;NA;trait available
Diplotaxis erucoides;Autochory;NA;NA;0.203846154;124.58;trait available
Diplotropis martiusii;NA;NA;0.65875;NA;NA;trait available
Diplotropis purpurea;Diaspore is blown by wind;5.341738793;0.760221599;154.5446676;NA;trait available
Dipteryx magnifica;NA;1.8775;NA;NA;NA;trait available
Dipteryx odorata;Diaspore is eaten intentionally;1.953530443;0.922895753;5796.09738;NA;trait available
Discophora guianensis;NA;2.547974067;0.56;NA;NA;trait available
Dodonaea viscosa;Animal;3.131500728;210.7575456;6.914472076;251.3422819;trait available
Dovyalis macrocalyx;NA;NA;0.48216;NA;NA;trait available
Dracaena elliptica;NA;NA;0.49;NA;NA;trait available
Dracaena reflexa;NA;NA;0.41328;45.72;NA;trait available
Drimys granadensis;NA;0.71;0.454669;NA;NA;trait available
Drimys winteri;Animal;2.08608;0.428333333;8.47882;0.272297511;trait available
Drypetes madagascariensis;NA;NA;NA;124.6;NA;trait available
Duguetia lanceolata;NA;NA;0.87;0.160216668;425.342;trait available
Duguetia stelechantha;NA;NA;0.849;NA;NA;trait available
Duguetia surinamensis;NA;1.835570131;0.82785;NA;NA;trait available
Dulacia candida;NA;3.6332338;NA;NA;NA;trait available
Duranta vestita;Animal;NA;0.458294447;NA;NA;trait available
Duroia longiflora;NA;4.423721584;NA;NA;NA;trait available
Dypsis lutescens;NA;NA;NA;760.51;NA;trait available
Dypsis scottiana;NA;NA;NA;50.46;NA;trait available
Dysoxylum spectabile;NA;1.93;NA;107.13;161.570114;trait available
Ecclinusa guianensis;Disp;1.637810858;0.626069778;NA;NA;trait available
Ecclinusa ramiflora;Disp;3.69834416;0.921643612;1.13805883;NA;trait available
Echium judaeum;NA;NA;NA;6.2;NA;trait available
Ehretia latifolia;NA;NA;NA;84.76;NA;trait available
Elaeocarpus dentatus;Disp;0.94;0.524;437.156;250.930518;trait available
Elaeodendron;no;NA;0.737012622;NA;NA;trait available
Elaeodendron alluaudianum;NA;NA;NA;57.62;NA;trait available
Elaphoglossum;NA;11.1;NA;NA;NA;trait available
Embothrium coccineum;NA;3.442428571;0.4902;13.73345714;NA;trait available
Emmotum nitens;NA;NA;0.93;NA;NA;trait available
Endlicheria;NA;7.594292005;0.5;NA;NA;trait available
Endlicheria paniculata;NA;1.76;0.59671847;0.66905;381.489;trait available
Endopleura uchi;NA;1.734444444;0.791856028;NA;NA;trait available
Enterolobium contortisiliquum;NA;NA;0.397900714;251.3472727;NA;trait available
Erblichia odorata;NA;NA;0.548359113;NA;NA;trait available
Eriotheca candolleana;Disp;NA;0.43;NA;NA;trait available
Eriotheca globosa;Disp;1.840424249;0.4786;NA;NA;trait available
Eriotheca gracilipes;NA;NA;430;NA;NA;trait available
Eriotheca pentaphylla;Disp;NA;1.58;NA;NA;trait available
Erisma bicolor;NA;1.5;NA;NA;NA;trait available
Erodium ciconium;"Anemochory: Big seeds with ""wings"", planing in the air (ex,  Acer sp.)";17.4075;NA;5.455333333;112.6982109;trait available
Erodium cicutarium;Animal;2.830252143;NA;1.916295;109.3302777;trait available
Erodium gruinum;NA;NA;NA;39.91666667;NA;trait available
Erodium laciniatum;NA;NA;NA;1.24;NA;trait available
Erodium malacoides;adhesion-dispersed (hooks, spines or bristles to assist attachment, checked to see if adhered t ...;NA;NA;NA;NA;trait available
Erucaria rostrata;Disp;NA;NA;NA;NA;trait available
Eryngium creticum;anemochory;NA;NA;2.8;NA;trait available
Erythrina abyssinica;NA;NA;0.426195;375.89;NA;trait available
Erythrina excelsa;NA;3.07;NA;NA;NA;trait available
Erythroxylum;animal;NA;0.775927322;36336.66862;NA;trait available
Erythroxylum citrifolium;NA;NA;0.705327936;NA;NA;trait available
Erythroxylum nitidulum;NA;NA;NA;43.75;NA;trait available
Erythroxylum pelleterianum;NA;NA;NA;41;NA;trait available
Erythroxylum pervillei;NA;NA;NA;14.25;NA;trait available
Erythroxylum platycladum;NA;NA;NA;125.87;NA;trait available
Erythroxylum pulchrum;NA;NA;1.071;NA;NA;trait available
Erythroxylum squamatum;NA;1.890187944;0.71;NA;NA;trait available
Eschweilera;NA;5.590912436;0.691125517;NA;NA;trait available
Eschweilera collina;NA;NA;0.778325314;NA;NA;trait available
Eschweilera coriacea;Disp;3.553290462;0.734929066;26;NA;trait available
Eschweilera grandiflora;Disp;1.17152447;0.7415;NA;NA;trait available
Eschweilera ovata;NA;NA;0.9;NA;NA;trait available
Eschweilera tessmannii;NA;17.91133672;0.789;NA;NA;trait available
Eschweilera truncata;NA;1.916;NA;NA;NA;trait available
Eschweilera wachenheimii;NA;1.946;0.8055;NA;NA;trait available
Esenbeckia grandiflora;NA;NA;1.076;NA;315.376;trait available
Esenbeckia leiocarpa;NA;NA;0.964;92.36;NA;trait available
Eucalyptus;Disp;1.571665698;NA;7.810357143;0.308977455;trait available
Eucryphia cordifolia;Disp;2.700555556;0.5472;1.360369333;NA;trait available
Eugenia;animal;3.330495569;0.669458535;496.8017213;NA;trait available
Eugenia acapulcensis;Disp;NA;NA;NA;NA;trait available
Eugenia batingabranca;NA;NA;46.57693331;NA;NA;trait available
Eugenia brasiliensis;NA;NA;0.71;1.962;NA;trait available
Eugenia brevistyla;NA;2.053333333;0.605485539;NA;NA;trait available
Eugenia cupulata;NA;0.905743457;NA;NA;NA;trait available
Eugenia florida;NA;2.576125951;0.679930162;0.100594375;280.5407563;trait available
Eugenia involucrata;NA;NA;NA;45.95204815;460.136;trait available
Eugenia leitonii;NA;NA;0.98;NA;NA;trait available
Eugenia ligustrina;NA;NA;0.981;NA;298.535;trait available
Eugenia oblongata;NA;NA;2.46225;NA;NA;trait available
Eugenia prasina;NA;NA;0.8815;NA;NA;trait available
Eugenia punicifolia;Disp;NA;NA;129.4536011;284;trait available
Eugenia sonderiana;NA;NA;0.75;NA;NA;trait available
Eugenia uniflora;NA;NA;0.819916553;NA;NA;trait available
Euphorbia exigua;agochor;NA;NA;0.308119048;213;trait available
Euphorbiaceae;no;1.608932689;NA;0.550804154;NA;trait available
Euplassa cantareirae;NA;1.4275;0.609134686;NA;NA;trait available
Euterpe edulis;Animal;4.710952381;27.94348383;270.1211833;421.571;trait available
Fagus grandifolia;Disp;11.91012563;0.596666667;398.3154821;294.3047584;trait available
Faramea pachyantha;NA;1.8825;0.527548536;NA;NA;trait available
Ferula communis;Disp;NA;NA;19.76666667;NA;trait available
Ficus;Disp;2.559992099;216.9014667;0.289080935;NA;trait available
Ficus adhatodifolia;NA;NA;0.36;0.001219352;286.312;trait available
Ficus citrifolia;animal;2.355220378;0.4;0.9;168.078426;trait available
Ficus exasperata;NA;23.59536337;0.3444;0.46;NA;trait available
Ficus gomelleira;NA;NA;0.39;NA;NA;trait available
Ficus insipida;Disp;7.576199315;0.373219072;1.027733947;208.9961707;trait available
Ficus lutea;NA;0.016745844;0.530494822;NA;NA;trait available
Ficus obtusiuscula;NA;NA;0.4;NA;NA;trait available
Ficus pertusa;Disp;2.069;0.41265;NA;0.262475;trait available
Ficus sansibarica;NA;NA;0.52521;NA;NA;trait available
Ficus sur;NA;0.014902181;0.325684495;0.63125;NA;trait available
Ficus sycomorus;NA;17.52075239;0.42189;1.653333333;NA;trait available
Ficus trigona;NA;2.018562794;NA;NA;NA;trait available
Filago contracta;NA;NA;NA;0.18;NA;trait available
Filago pyramidata;anemochory;NA;NA;0.0518944;237.006125;trait available
Foeniculum vulgare;Disp;NA;NA;13.25409091;234.5;trait available
Forestiera reticulata;Disp;NA;NA;NA;NA;trait available
Frangula alnus;bird;5.654362082;58.36315054;897.2662398;121.3696925;trait available
Fraxinus americana;wind;9.667431505;0.599555544;405.8895738;221.6957237;trait available
Fraxinus nigra;Disp;2.354285714;0.476666667;2315.214167;NA;trait available
Fraxinus pennsylvanica;Disp;1.734428571;220.2033333;449.1196129;0.268578129;trait available
Fraxinus uhdei;Disp;NA;NA;23.98008121;NA;trait available
Freycinetia banksii;NA;NA;NA;0.16;NA;trait available
Fuchsia excorticata;NA;13.3086381;0.635333333;0.07;128.4777925;trait available
Fuchsia magellanica;NA;NA;NA;0.185;NA;trait available
Funtumia africana;Disp;2.5;0.423986219;59.37;NA;trait available
Fusaea longifolia;NA;1.492926258;0.754428571;NA;NA;trait available
Gagea reticulata;NA;NA;NA;NA;0.262937995;trait available
Galium divaricatum;autochory;NA;NA;0.095;NA;trait available
Galium judaicum;NA;NA;NA;0.2;NA;trait available
Galium murale;endozoochor;NA;NA;0.18;NA;trait available
Garcinia;animal;10.94666667;0.750443065;991.1859568;0.316770186;trait available
Garcinia brasiliensis;Disp;1.302507892;1.102827141;960;NA;trait available
Garcinia macrophylla;Disp;3.894139288;0.746866299;743;NA;trait available
Garcinia madruno;Disp;1.108216201;0.729809729;3212.163695;322.6988853;trait available
Garrya laurifolia;Disp;0.86;NA;NA;NA;trait available
Gaultheria insana;NA;NA;NA;0.29;NA;trait available
Genipa infundibuliformis;NA;NA;0.88;NA;NA;trait available
Geranium dissectum;speirochor;0.873189933;NA;2.4154;102.1014084;trait available
Geranium molle;endozoochor;2.418928;NA;1.1003;83.98138841;trait available
Geranium rotundifolium;one-seeded generative dispersule;5.604;NA;1.8092;247.6890686;trait available
Geropogon hybridus;NA;NA;NA;16.94;NA;trait available
Gevuina avellana;Mammalochory;2.24;0.63;1130.658643;NA;trait available
Glycydendron amazonicum;Disp;6.700893572;0.67076;NA;NA;trait available
Goupia glabra;Disp;2.008447908;0.710263273;0.911909389;NA;trait available
Guapira;NA;3.24;0.475;NA;NA;trait available
Guapira areolata;NA;2.976666667;17.77793368;NA;NA;trait available
Guapira obtusata;NA;2.67;NA;NA;NA;trait available
Guapira opposita;NA;3.47625;5.284175674;0.01934;187.229;trait available
Guarea;NA;9.382591399;0.566355152;NA;NA;trait available
Guarea guidonia;Disp;5.18545881;0.561860143;574.8575555;207.677822;trait available
Guarea kunthiana;Disp;14.51480512;0.539250848;174.4545085;NA;trait available
Guarea macrophylla;Disp;6.865087298;3.584191728;503.8373346;267.6666667;trait available
Guarea pubescens;NA;5.560326511;0.543520283;NA;NA;trait available
Guarea silvatica;NA;3.033834772;NA;NA;NA;trait available
Guatteria;Animal;7.438800163;0.519403389;NA;252.5;trait available
Guatteria australis;NA;2.21875;0.486099045;0.054738461;344.333;trait available
Guatteria blepharophylla;Animal;1.221649253;NA;NA;NA;trait available
Guatteria schomburgkiana;NA;6.344352067;0.6;NA;NA;trait available
Guazuma ulmifolia;Animal;2.458302132;0.52206857;4.129353294;229.498785;trait available
Guettarda uruguensis;NA;NA;0.73;89.9;NA;trait available
Gundelia tournefortii;Disp;NA;NA;111.1666667;NA;trait available
Gustavia elliptica;NA;2.13;0.669;NA;NA;trait available
Hamamelis virginiana;Disp;1.200000002;0.61;933.6407593;0.3993;trait available
Handroanthus chrysotrichus;NA;NA;NA;603;NA;trait available
Handroanthus impetiginosus;NA;8.506046008;212.3345489;126.8985714;196.6826245;trait available
Handroanthus incanus;NA;NA;0.94;NA;NA;trait available
Handroanthus serratifolius;Diaspore is blown by wind;5.495463419;0.923063805;122.1222208;NA;trait available
Hedera helix;bird;4.078759869;0.324132727;31.72963333;170.4232645;trait available
Hedycarya arborea;NA;2.08;0.615;240.1090909;155.3562541;trait available
Hedyosmum brasiliense;NA;NA;NA;1.132365234;NA;trait available
Hedyosmum mexicanum;NA;2.355;NA;0.939241713;NA;trait available
Heisteria;animal;13.1341497;0.623937308;190.6480016;NA;trait available
Heisteria ovata;NA;8.355489524;0.600533413;200;NA;trait available
Heisteria silvianii;NA;NA;NA;0.3413;420.978;trait available
Helianthemum aegyptiacum;NA;NA;NA;0.19;NA;trait available
Helianthemum ledifolium;NA;NA;NA;0.411666667;NA;trait available
Helianthemum salicifolium;Anemochory: Stems move with the wind, helping for seed dispersion (ex,  Papaver sp.);NA;NA;0.295454545;NA;trait available
Helianthemum vesicarium;NA;NA;NA;0.96;NA;trait available
Helianthostylis sprucei;Ornithochory - Mamalochory;2.255;0.6275;1.302941017;NA;trait available
Helicostylis pedunculata;NA;4.610644502;0.582011915;NA;NA;trait available
Helicostylis scabra;NA;19.09682034;0.735;NA;NA;trait available
Helicostylis tomentosa;NA;7.190888788;0.598253598;NA;NA;trait available
Henriettea succosa;NA;NA;0.764279613;NA;NA;trait available
Hernandia nymphaeifolia;Disp;NA;0.31;NA;NA;trait available
Hevea brasiliensis;Disp;11.39389371;451.4772067;3809.18;NA;trait available
Hevea guianensis;Disp;2.17840258;0.554155719;NA;NA;trait available
Hieronyma alchorneoides;NA;2.337728208;0.629752047;5.8574584;215.2029195;trait available
Himatanthus articulatus;Disp;1.96;0.53637;NA;NA;trait available
Himatanthus bracteatus;NA;NA;0.53;NA;NA;trait available
Hippocratea volubilis;Disp;1.32;0.555385814;0.053492083;NA;trait available
Hippocrepis unisiliquosa;autochory;NA;NA;5.094666667;NA;trait available
Hirschfeldia incana;agochor;NA;NA;0.371557895;136.0485714;trait available
Hirtella hebeclada;NA;1.73875;13.79679093;0.512820511;410.498;trait available
Hirtella racemosa;NA;1.561266661;0.732715404;0.104376667;230.4605579;trait available
Histiopteris incisa;wind;NA;NA;NA;NA;trait available
Hoheria sexstylosa;NA;NA;NA;NA;154.7067983;trait available
Homalium;NA;NA;0.7463176;NA;NA;trait available
Hordeum bulbosum;NA;14.4683758;NA;7.606470588;261.9639192;trait available
Hortia brasiliana;NA;NA;0.759013276;NA;NA;trait available
Humiria balsamifera;NA;3.778822664;0.724686207;260;NA;trait available
Hydrogaster trinervis;NA;NA;0.63;NA;NA;trait available
Hyeronima alchorneoides;NA;4.484230147;98.54231536;0.01439412;275.0725;trait available
Hymenaea courbaril;Animal;1.949146775;73.92761954;3572.186419;237.4141588;trait available
Hymenaea intermedia;NA;NA;0.82;NA;NA;trait available
Hymenaea oblongifolia;NA;7.779504467;0.727618293;NA;NA;trait available
Hymenolobium;NA;7.777941399;0.729040371;NA;NA;trait available
Hymenolobium modestum;NA;NA;0.663770203;NA;NA;trait available
Hyparrhenia hirta;Disp;1.41925;NA;0.725;105.3072393;trait available
Hypericum triquetrifolium;NA;NA;NA;1.133333333;NA;trait available
Ilex;no;8.709379978;NA;NA;NA;trait available
Ilex affinis;NA;NA;0.51;NA;NA;trait available
Ilex brevicuspis;Animal;NA;0.54;NA;NA;trait available
Ilex cerasifolia;NA;NA;0.65;NA;NA;trait available
Ilex dumosa;NA;NA;NA;0.003135292;440.376;trait available
Ilex macfadyenii;NA;1;NA;NA;NA;trait available
Ilex microdonta;Animal;NA;NA;NA;NA;trait available
Ilex paraguariensis;NA;2.83;NA;0.008725982;384.622;trait available
Ilex theezans;NA;NA;NA;0.008370589;367.37;trait available
Ilex verticillata;animal;3.972272727;NA;7095.581593;NA;trait available
Ilex vomitoria;animal;1.942;NA;2923.301507;NA;trait available
Inga;Diaspore is eaten intentionally;10.39609727;2.040284955;844.5674127;NA;trait available
Inga alba;Disp;6.986283025;0.592895467;NA;318.3333333;trait available
Inga capitata;NA;15.82194845;3.855118368;NA;NA;trait available
Inga cayennensis;Disp;10.74673322;0.680631056;NA;NA;trait available
Inga cordatoalata;NA;2.915915457;NA;NA;NA;trait available
Inga cylindrica;NA;19.50313131;0.543063008;NA;NA;trait available
Inga edulis;Disp;5.34808435;0.486777449;517.0970331;NA;trait available
Inga gracilifolia;Disp;1.684819321;NA;NA;NA;trait available
Inga ingoides;Disp;NA;0.496;0.5;NA;trait available
Inga laurina;NA;11.26180453;0.641826451;0.39568215;330.9295055;trait available
Inga marginata;Disp;4.762177451;0.563054732;144.5980863;319.1805738;trait available
Inga obidensis;NA;2.38;NA;NA;NA;trait available
Inga oerstediana;NA;2.983299242;0.441427783;380;368.1992337;trait available
Inga paraensis;NA;2.171119755;0.82;NA;NA;trait available
Inga sessilis;NA;NA;16.03640775;NA;NA;trait available
Inga splendens;animal;1.67;0.583333333;1919.192604;NA;trait available
Inga stipularis;Disp;2.252502143;0.629;NA;NA;trait available
Inga striata;NA;17.71536525;NA;NA;NA;trait available
Inga subnuda;NA;3.0725;0.629777816;NA;NA;trait available
Inga thibaudiana;Disp;4.792778375;0.515829371;65.1164625;322.3495824;trait available
Inga umbratica;NA;3.058087257;NA;NA;NA;trait available
Inga vera;Animal;2.8983334;0.559788652;0.32;NA;trait available
Intsia bijuga;NA;NA;0.712945516;1473.35;NA;trait available
Iryanthera hostmannii;Disp;2.501053321;0.604469015;1600;NA;trait available
Iryanthera juruensis;Diaspore is eaten intentionally;6.362439133;0.61430811;3650.554633;243.5;trait available
Isatis lusitanica;NA;NA;NA;8.5;134.6849727;trait available
Isertia hypoleuca;NA;NA;0.622;NA;NA;trait available
Ixora gardneriana;NA;NA;0.88;NA;NA;trait available
Jacaranda copaia;wind;3.871180043;0.362764563;5.933741397;214.1977641;trait available
Jacaranda mimosifolia;NA;NA;0.49;11.79875;NA;trait available
Jacaranda puberula;NA;1.9775;3.814530179;0.003938042;489.538;trait available
Jacaratia;NA;NA;193.4;NA;NA;trait available
Jacaratia spinosa;NA;11.723125;106.484874;NA;166.3333333;trait available
Juglans cinerea;animal;2.384285714;0.373333333;12463.90139;NA;trait available
Julbernardia globiflora;NA;2.4;0.73752;334.4477778;NA;trait available
Kickxia aegyptiaca;NA;NA;NA;2.3;NA;trait available
Kigelia africana;NA;9.359280282;0.6319775;131.116;NA;trait available
Knightia excelsa;NA;0.64;0.567;27.52636364;233.7676509;trait available
Kunzea ericoides;wind;NA;0.694666667;0.04825;201.3956089;trait available
Lacistema aggregatum;Animal;3.642597197;0.515456433;29.97737493;201.5189511;trait available
Lacistema pubescens;NA;1.8575;0.476603196;NA;NA;trait available
Lacmellea aculeata;Disp;0.802977485;NA;NA;NA;trait available
Lacunaria jenmanii;NA;1.056638077;NA;NA;NA;trait available
Laetia procera;Diaspore is eaten intentionally;4.820109149;0.635190968;3.788417866;304.4385987;trait available
Lafoensia glyptocarpa;NA;NA;0.96;NA;NA;trait available
Lagoecia cuminoides;Disp;NA;NA;0.56;NA;trait available
Lagurus ovatus;one-seeded generative dispersule;1.19;NA;0.526380189;26.2;trait available
